Flight_Date,AircraftType,REG,OUT_FLIGHT,OUT_DATE_TIME,TOWN_TO,COUNTRY,Airline_Name,Lat_to,Lon_to,TOWN_FROM,Lat_from,Lon_from
2022-05-26 12:34:00,32A,73170,SU 1364,2022-05-26 12:34:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-28 12:40:00,32A,73758,SU 1364,2022-05-28 12:40:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-28 08:50:00,32A,73750,SU 1366,2022-05-28 08:50:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-27 08:52:00,32A,73779,SU 1366,2022-05-27 08:52:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-27 14:31:00,32A,73750,SU 1368,2022-05-27 14:31:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-27 12:32:00,32A,73749,SU 1364,2022-05-27 12:32:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-28 14:42:00,73H,73111,SU 1368,2022-05-28 14:42:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-29 12:36:00,32A,73779,SU 1364,2022-05-29 12:36:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-29 08:46:00,32A,73774,SU 1366,2022-05-29 08:46:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-29 14:33:00,32A,73750,SU 1368,2022-05-29 14:33:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-30 12:34:00,32A,73779,SU 1364,2022-05-30 12:34:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-31 08:53:00,32A,73761,SU 1366,2022-05-31 08:53:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
